조사년도,개방ID,학교명,학교급명,시도명,학제유형명,유초중등학생_학생수,초등과정졸업생수,중등과정졸업생수,고등과정졸업생수,유초중등학생_졸업생수,취업자수,일반고진학학생수,특수목적고등학교진학학생수,자율고등학교진학학생수,특성화고진학학생수,특수학급학생수,진학학생수,국내대학진학학생수,국내전문대학진학학생수,국내각종학교진학학생수,국내교육대학진학학생수
2019,1000279486,서울봉현초등학교,해당없음,서울,초등학교,942,0,0,0,155,0,0,0,0,0,3,155,0,0,0,0
2019,1018460035,서울잠전초등학교,해당없음,서울,초등학교,685,0,0,0,122,0,0,0,0,0,0,122,0,0,0,0
2019,1018780291,가재울고등학교,해당없음,서울,일반고등학교,693,0,0,0,224,8,0,0,0,0,25,151,74,75,0,0
2019,1019676685,서울신영초등학교,해당없음,서울,초등학교,591,0,0,0,99,0,0,0,0,0,11,99,0,0,0,0
2019,1021709263,서울문영여자중학교,해당없음,서울,중학교,288,0,0,0,96,0,78,0,0,14,0,92,0,0,0,0
2019,1024725139,키즈위즈유치원,해당없음,서울,유치원,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
2019,1030342757,장위중학교,해당없음,서울,중학교,671,0,0,0,231,0,134,0,0,52,0,186,0,0,0,0
2019,1033357560,버들유치원,해당없음,서울,유치원,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2019,1042198657,서울수송초등학교,해당없음,서울,초등학교,823,0,0,0,144,0,0,0,0,0,8,144,0,0,0,0
2019,1045308411,서울길음초등학교,해당없음,서울,초등학교,1391,0,0,0,197,0,0,0,0,0,7,197,0,0,0,0
2019,1047200977,서울신림초등학교,해당없음,서울,초등학교,677,0,0,0,122,0,0,0,0,0,13,122,0,0,0,0
2019,1051322460,레인보우유치원,해당없음,서울,유치원,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
2019,1051666855,상현중학교,해당없음,서울,중학교,544,0,0,0,178,0,142,0,0,16,8,159,0,0,0,0
2019,1053682804,서울서신초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2019,1055197179,조은유치원,해당없음,서울,유치원,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2019,1059512317,신도림고등학교,해당없음,서울,일반고등학교,681,0,0,0,276,0,0,0,0,0,22,162,91,71,0,0
2019,1061046540,서울영도초등학교,해당없음,서울,초등학교,1205,0,0,0,248,0,0,0,0,0,0,248,0,0,0,0
2019,1061488568,덕성여자대학교부속유치원,해당없음,서울,유치원,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
2019,1063090920,광양중학교,해당없음,서울,중학교,482,0,0,0,171,0,58,0,0,36,0,95,0,0,0,0
2019,1063238441,관악고등학교,해당없음,서울,일반고등학교,692,0,0,0,292,0,0,0,0,0,8,194,114,78,0,2
2019,1068827629,푸른동산유치원,해당없음,서울,유치원,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
2019,1070178925,서울우면초등학교,해당없음,서울,초등학교,1377,0,0,0,169,0,0,0,0,0,9,169,0,0,0,0
2019,1075603425,서울남성초등학교,해당없음,서울,초등학교,675,0,0,0,92,0,0,0,0,0,13,92,0,0,0,0
2019,1080801546,서울길음유치원,해당없음,서울,유치원,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
2019,1080949604,서울개일초등학교,해당없음,서울,초등학교,837,0,0,0,114,0,0,0,0,0,0,114,0,0,0,0
2019,1081842243,상일중학교,해당없음,서울,중학교,109,0,0,0,88,0,65,0,0,16,0,83,0,0,0,0
2019,1083141505,학림유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1086153090,서울숭미초등학교,해당없음,서울,초등학교,812,0,0,0,154,0,0,0,0,0,11,154,0,0,0,0
2019,1089138388,녹천중학교,해당없음,서울,중학교,398,0,0,0,166,0,109,0,0,43,1,153,0,0,0,0
2019,1090215563,예그린유치원,해당없음,서울,유치원,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
2019,1093491077,광운인공지능고등학교,해당없음,서울,특성화고등학교,710,0,0,0,253,72,0,0,0,0,0,95,32,63,0,0
2019,1098997652,불광중학교,해당없음,서울,중학교,629,0,0,0,212,0,153,0,0,51,16,204,0,0,0,0
