k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,safetyScore,safetyClass,hospitalScore,educationScore,cluster,DistanceToCenter,score,class
A15679103,우리유앤미,동작구,흑석동,126.9596386,37.5006676,37.4736676,37.5276676,126.9326386,126.9866386,0.3699820236722208,1.0,0.5177447026413282,0.32250480506249746,2,-0.11963605514070712,0.5812319045337101,1.0
A13876112,송파파인타운13단지,송파구,장지동,127.1291789,37.4768967,37.4498967,37.5038967,127.1021789,127.1561789,0.12337384454581404,2.0,0.5599454936150042,0.32250480506249746,2,-0.2233348103855727,0.4775331492888445,1.0
A13873701,오금현대백조(임대),송파구,오금동,127.1287745,37.5089058,37.4819058,37.5359058,127.1017745,127.1557745,0.3538812382758636,1.0,0.5169875959899723,0.32250480506249746,2,-0.11180158666343523,0.589066373010982,1.0
A15275101,개봉건영,구로구,개봉동,126.8406749,37.5011622,37.4741622,37.5281622,126.8136749,126.8676749,0.27044454750280167,1.0,0.2582479454995083,0.32250480506249746,2,-0.23745555754622752,0.4634124021281897,1.0
A13991016,월계동원베네스트,노원구,월계동,127.0582196,37.631732,37.604732,37.658732,127.0312196,127.0852196,0.3249024207992701,1.0,0.48729641052887207,0.32250480506249746,2,-0.0947753299839668,0.6060926296904504,1.0
A13789201,양재우성KBS(113동),서초구,양재동,127.0290739,37.4775008,37.4505008,37.5045008,127.0020739,127.0560739,0.4859513008259799,1.0,0.2840467740237299,0.934784034380954,2,-0.5816153214304254,0.1192526382439918,1.0
A13486701,천호삼익,강동구,천호동,127.1284727,37.5485886,37.5215886,37.5755886,127.1014727,127.1554727,0.3501964349872192,1.0,0.4195333411397065,0.934784034380954,2,-0.5246133808602685,0.17625457881414863,1.0
A14319001,자양경남아너스빌,광진구,자양동,127.083991,37.5294321,37.5024321,37.5564321,127.056991,127.110991,0.36980540971625186,1.0,0.485978541357198,0.934784034380954,2,-0.523894316574331,0.17697364310008612,1.0
A12208101,신사성원,은평구,신사동,126.9133122,37.6004574,37.5734574,37.6274574,126.8863122,126.9403122,0.08635741822741069,2.0,0.621844414910251,0.934784034380954,2,-0.5842364443141086,0.11663151536030858,1.0
A15809001,신월대방샤인힐,양천구,신월동,126.8384999,37.5204711,37.4934711,37.5474711,126.8114999,126.8654999,0.383791114644663,1.0,0.47444594627848835,0.934784034380954,2,-0.5255974503146322,0.17527050935978494,1.0
A13820001,문정3차푸르지오,송파구,문정동,127.1332779,37.4871243,37.4601243,37.5141243,127.1062779,127.1602779,0.1355009468826839,2.0,0.7589240154440953,0.8936425517921266,2,-0.5833134696600324,0.11755449001438478,1.0
A13790701,잠원한신그린,서초구,잠원동,127.0078749,37.5133709,37.4863709,37.5403709,126.9808749,127.0348749,0.7141064565903851,0.0,0.22710152814652998,0.8936425517921266,0,-0.5643299569946768,0.3698203729798708,0.0
A13402202,천호e-편한세상,강동구,천호동,127.1243522,37.5443727,37.5173727,37.5713727,127.0973522,127.1513522,0.34627802157856236,1.0,0.4786186418726381,0.8936425517921266,2,-0.48049128672189834,0.22037667295251884,1.0
A11007001,경희궁의아침3단지,종로구,내수동,126.9720155,37.5736451,37.5466451,37.6006451,126.9450155,126.9990155,0.4643482098522854,1.0,0.13226165655967745,0.8936425517921266,2,-0.608773749695312,0.09209420997910522,1.0
A13403001,성내2차e-편한세상,강동구,성내동,127.1264298,37.53436,37.50736,37.56136,127.0994298,127.1534298,0.32281345351462265,1.0,0.4558257438688052,0.8936425517921266,2,-0.4794932531272004,0.22137470654721675,1.0
A15609001,사당유니드,동작구,사당동,126.9752458,37.493362,37.466362,37.520362,126.9482458,127.0022458,0.33513998674669476,1.0,0.37378695515841504,0.64180192992595,2,-0.24966831989340763,0.4511996397810095,1.0
A13186801,신내다우훼밀리,중랑구,신내동,127.0971514,37.6060585,37.5790585,37.6330585,127.0701514,127.1241514,0.336324999757021,1.0,0.5620905076976854,0.64180192992595,2,-0.24528719308773364,0.45558076658668356,1.0
