k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,fireVal,policeVal,cctvVal,cluster,DistanceToCenter,score,class
A15679103,우리유앤미,동작구,흑석동,126.9596386,37.5006676,37.4736676,37.5276676,126.9326386,126.9866386,0.3157894736842105,0.17391304347826086,0.5782280867106503,2,0.15129639022172978,0.7920097058485055,1.0
A13876112,송파파인타운13단지,송파구,장지동,127.1291789,37.4768967,37.4498967,37.5038967,127.1021789,127.1561789,0.3157894736842105,0.21739130434782608,0.21347785108388312,1,0.20215762955112684,0.4489973726678772,2.0
A13873701,오금현대백조(임대),송파구,오금동,127.1287745,37.5089058,37.4819058,37.5359058,127.1017745,127.1557745,0.47368421052631576,0.13043478260869565,0.35414703110273327,2,0.1289014802702063,0.769614795896982,1.0
A15275101,개봉건영,구로구,개봉동,126.8406749,37.5011622,37.4741622,37.528162200000004,126.8136749,126.8676749,0.42105263157894735,0.17391304347826086,0.4653628652214892,2,0.012847689693095816,0.6535610053198715,1.0
A13991016,월계동원베네스트,노원구,월계동,127.0582196,37.631732,37.604732,37.658732,127.0312196,127.0852196,0.3684210526315789,0.21739130434782608,0.5187323279924599,2,0.08859425351611389,0.7293075691428896,1.0
A13789201,양재우성KBS(113동),서초구,양재동,127.0290739,37.4775008,37.4505008,37.5045008,127.0020739,127.0560739,0.2631578947368421,0.43478260869565216,0.5161404335532517,2,0.31260041701717506,0.9533137326439507,1.0
A13486701,천호삼익,강동구,천호동,127.1284727,37.5485886,37.5215886,37.5755886,127.1014727,127.1554727,0.3684210526315789,0.08695652173913043,0.37664938737040526,2,0.12377621241482967,0.7644895280416053,1.0
A14319001,자양경남아너스빌,광진구,자양동,127.083991,37.5294321,37.5024321,37.5564321,127.056991,127.110991,0.5263157894736842,0.21739130434782608,0.545947219604147,2,0.15105073427745516,0.7917640499042309,1.0
A12208101,신사성원,은평구,신사동,126.9133122,37.6004574,37.5734574,37.627457400000004,126.88631219999999,126.9403122,0.21052631578947367,0.0,0.0,1,0.15067072914716234,0.3975104722639127,2.0
A15809001,신월대방샤인힐,양천구,신월동,126.8384999,37.5204711,37.4934711,37.5474711,126.8114999,126.8654999,0.47368421052631576,0.13043478260869565,0.6169886899151743,2,0.1705037357783142,0.8112170514050899,1.0
A13820001,문정3차푸르지오,송파구,문정동,127.1332779,37.4871243,37.4601243,37.5141243,127.1062779,127.1602779,0.3157894736842105,0.21739130434782608,0.2478793590951932,1,0.21902546289722916,0.4658652060139795,2.0
A13790701,잠원한신그린,서초구,잠원동,127.0078749,37.5133709,37.4863709,37.5403709,126.9808749,127.0348749,0.3684210526315789,0.4782608695652174,0.5451225259189444,0,0.26908571090349825,1.2706593802342672,0.0
A13402202,천호e-편한세상,강동구,천호동,127.1243522,37.5443727,37.517372699999996,37.5713727,127.0973522,127.1513522,0.3684210526315789,0.08695652173913043,0.3847785108388313,2,0.11832601149111767,0.7590393271178933,1.0
A11007001,경희궁의아침3단지,종로구,내수동,126.9720155,37.5736451,37.5466451,37.6006451,126.9450155,126.9990155,0.5789473684210527,0.3913043478260869,0.4309613572101791,2,0.28255223830286724,0.9232655539296429,1.0
