센터명,구분,주소,전화번호,FAX,lat,lon
개포119안전센터,1,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,02-529-1119,,
삼성119안전센터,1,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556,02-539-9008,37.51027919,127.0668302
세곡119안전센터,1,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882,02-451-0883,37.47044242,127.107195
수서119안전센터,1,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,02-451-0019,37.48492685,127.0928417
역삼119안전센터,1,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,02-508-1193,37.4971303,127.0424466
영동119안전센터,1,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,02-542-0119,37.52214286,127.0369343
강일119안전센터,1,서울특별시 강동구 고덕로98길 22 (강일동),02-6981-7790,02-429-0121,37.5573404,127.1796845
고덕119안전센터,1,서울특별시 강동구 양재대로156길 133 (고덕동),02-441-0119,02-426-0431,37.55716556,127.1518605
길동119안전센터,1,서울특별시 강동구 천중로 215 (길동),02-486-1727,02-487-6119,37.54097449,127.1443577
성내119안전센터,1,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,02-6981-7717,37.52945788,127.1253721
암사119안전센터,1,서울특별시 강동구 올림픽로 815 (암사동),02-3426-2119,02-429-0427,37.55398344,127.1286375
천호119안전센터,1,서울특별시 강동구 진황도로 37 (천호동),02-476-0119,02-474-1721,37.53861994,127.1313703
미아119안전센터,1,서울특별시 강북구 도봉로 125 (미아동),02-983-9111,02-981-0119,37.6200218,127.0282947
번동119안전센터,1,서울특별시 강북구 한천로 911 (번동),02-6946-0250,02-6946-0229,37.63305134,127.0381809
삼각산119안전센터,1,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119,02-984-5119,37.61986254,127.0155034
우이119안전센터,1,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119,02-998-9116,37.64095359,127.0164963
개화119안전센터,1,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185,02-2187-8248,37.57500017,126.8031461
등촌119안전센터,1,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,02-2187-8244,37.55824607,126.860047
마곡119안전센터,1,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,02-2187-8249,37.55593627,126.8207189
발산119안전센터,1,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,02-2187-8246,37.55526113,126.836861
방화119안전센터,1,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,02-2187-8247,37.57979357,126.8142816
화곡119안전센터,1,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,02-2187-8245,37.54366474,126.8452235
관악119안전센터,1,서울특별시 관악구 관악로 97 (봉천동),02-6981-8340,02-877-4119,37.47412481,126.9526855
난곡119안전센터,1,서울특별시 관악구 난곡로 243 (신림동),02-859-0119,02-839-3119,37.47568962,126.9160704
봉천119안전센터,1,서울특별시 관악구 은천로 54 (봉천동),02-886-0119,02-877-2143,37.48594895,126.941114
신림119안전센터,1,서울특별시 관악구 봉천로 202 (신림동),02-874-0119,02-878-2069,37.48963349,126.9239867
구의119안전센터,1,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768,02-454-0118,37.54482602,127.0827785
능동119안전센터,1,서울특별시 광진구 능동로 242 (능동),02-6981-6781,02-3436-8119,37.5516759,127.0769913
중곡119안전센터,1,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791,02-2201-4119,37.56694868,127.0866438
고일119안전센터,1,서울특별시 구로구 경인로 408 (고척동),02-2619-0119,02-2619-0121,37.49779283,126.8652158
고척119안전센터,1,서울특별시 구로구 고척로 195 (고척동),02-2618-3104,02-2616-0119,37.50492878,126.8548646
공단119안전센터,1,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119,02-837-7119,37.48422508,126.8984326
구로119안전센터,1,서울특별시 구로구 구로동로 175 (구로동),02-855-1119,02-864-0119,37.49422749,126.8825483
수궁119안전센터,1,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119,02-2613-0119,37.4962645,126.8295431
